"orden","campo","filas","no_vacios","vacios","porcentaje_vacios","valores_unicos","valores_frecuentes"
"1","ID_PUBLICACION_PROPUESTA","6217","6217","0","0","6217","PUB-004145 [1] || PUB-004146 [1] || PUB-004147 [1] || PUB-004142 [1] || PUB-004143 [1]"
"2","ID_REGISTRO_REPRESENTATIVO","6217","6217","0","0","6217","REG_005599 [1] || REG_005600 [1] || REG_005601 [1] || REG_005595 [1] || REG_005596 [1]"
"3","REGISTROS_EN_GRUPO","6217","6217","0","0","4","1 [5881] || 2 [316] || 3 [19] || 4 [1]"
"4","REGLAS_AGRUPACION","6217","336","5881","94.6","7","DED_BIB_001 [156] || DED_URL_001 [102] || DED_FUZZY_001 [60] || DED_BIB_001; DED_URL_001 [7] || DED_FUZZY_001; DED_URL_001 [5]"
"5","ESTADO","6217","6217","0","0","2","sin_coincidencia_automatica [5881] || agrupado_automaticamente [336]"
"6","ID_GLOBAL","6217","6217","0","0","6217","19. Producción Cientifica AN,HU,PA,SM,CA__1894 [1] || 19. Producción Cientifica AN,HU,PA,SM,CA__1895 [1] || 19. Producción Cientifica AN,HU,PA,SM,CA__1896 [1] || 19. Producción Cientifica AN,HU,PA,SM,CA__1890 [1] || 19. Producción Cientifica AN,HU,PA,SM,CA__1891 [1]"
"7","COD BD SERFOR","6217","5099","1118","17.98","2355","107 [13] || 39 [13] || 19 [12] || 117 [12] || 45 [12]"
"8","General_ Repositorio","6217","6217","0","0","365","Google Scholar [1298] || Alicia [651] || Scopus [479] || Otros [284] || Researchgate [262]"
"9","General_ Tipo de Publicación","6217","6217","0","0","3","Artículo [3192] || Tesis [3020] || Artículo de conferencia [5]"
"10","General_ Tipo de tesis Pre/Posgrado","6217","6217","0","0","8","No aplica [3197] || Pregrado [2383] || Posgrado no especificado [408] || Nivel no especificado [171] || Maestría [38]"
"11","General_ Institución/Universidad","6217","6217","0","0","485","Otros [2538] || Universidad Nacional Mayor de San Marcos [425] || Universidad Nacional Agraria La Molina [402] || Universidad Nacional Agraria de la Selva [311] || Universidad Nacional del Centro del Perú [212]"
"12","General_ SIGLAS UNIVERSIDAD/INSTITUCIÓN","6217","6217","0","0","90","Otros [3211] || UNMSM [425] || UNALM [405] || UNAS [311] || UNCP [212]"
"13","General_ Nombre de revista","6217","6217","0","0","713","Otros [3758] || Peruana de Biología [304] || Zootaxa [74] || Arnaldoa [66] || Ecología Aplicada [62]"
"14","General_ Volume","6217","709","5508","88.6","207","14 [21] || 6 [20] || 1 [19] || 4 [19] || 9 [18]"
"15","General_ Issue","6217","561","5656","90.98","49","1 [155] || 2 [126] || 3 [91] || 4 [48] || 5 [30]"
"16","General_ Page start","6217","996","5221","83.98","383","1 [394] || 9 [7] || 39 [6] || 65 [6] || 45 [6]"
"17","General_ Page end","6217","988","5229","84.11","450","14 [10] || 40 [9] || 8 [9] || 92 [9] || 64 [8]"
"18","General_ Número de páginas","6217","1045","5172","83.19","189","1 [124] || 8 [54] || 10 [47] || 12 [46] || 11 [44]"
"19","General_ Año","6217","6216","1","0.02","61","2019 [669] || 2018 [554] || 2020 [460] || 2017 [450] || 2021 [436]"
"20","General_ Título","6217","6217","0","0","6191","Estudio técnico para la implementación de una unidad comercial para la fabricación de Extracto de algarroba [2] || New distribution records for Euspondylus excelsum Chávez, Catenazzi & Venegas, 2017 (Reptilia, Gymnophthalmidae, Cercosaurinae) in Peru [2] || Propiedades Organolépticas, Físicas y Mecánicas de la Madera de Cordia alliodora (R. y P.) Oken de Parcelas Agroforestales en Jaén, Cajamarca [2] || Dispersión y variación de la capacidad de Germinación de semillas ingeridas por el zorro costeño (Lycalopex sechurae) en el Santuario histórico Bosque de Pómac, Lambayaque [2] || Gentianaceae endémicas del Perú [2]"
"21","General_ Autor(es)","6217","6208","9","0.14","5875","León, B. [82] || Lambertucci, S. [19] || Montesinos D.B. [12] || León, B., y Monsalve, C. [9] || Alarcón, P. [7]"
"22","General_ Resumen","6217","5570","647","10.41","5490","No se encontró [26] || No tiene [16] || No indica [10] || Universidad Nacional Agraria La Molina. Facultad de Ciencias Forestales. Departamento Académico de Manejo Forestal [6] || No disponible [5]"
"23","General_ Palabras clave del documento","6217","1386","4831","77.71","596","No se encontró [550] || Vultur gryphus [82] || Cóndor Andino [76] || Andean condor [54] || No tiene [31]"
"24","General_ Idioma","6217","6217","0","0","7","Otros [2619] || Español [2574] || Inglés [1011] || Portugués [6] || Alemán [4]"
"25","General_ Lugar de Publicación","6217","6217","0","0","120","Otros [3349] || Huánuco [582] || Cajamarca [571] || San Martín [394] || Ancash [381]"
"26","General_ Publicación Nacional/Extranjera","6217","6217","0","0","3","Nacional [2664] || Otros [2093] || Extranjera [1460]"
"27","General_ Tipo de contenido (TD=texto disponible, TN=Texto no disponible)","6217","6217","0","0","5","Texto disponible [4515] || Otros [1161] || Texto no disponible [537] || Solo resumen [2] || Pendiente de digitalización [2]"
