"ID_PUBLICACION_PROPUESTA","REGION_NORM_SUGERIDA","REGIONES_DIMENSION","ID_REGISTRO_REPRESENTATIVO"
"PUB-001866","Áncash","Áncash; Otros","REG_004212"
"PUB-001098","Otros","Madre de Dios; Otros","REG_001174"
"PUB-000560","Otros","Madre de Dios; Otros","REG_000941"
"PUB-002533","Áncash","Áncash; Junín","REG_004233"
"PUB-004242","San Martín","Otros; San Martín","REG_005720"
"PUB-002501","Áncash","Áncash; Otros","REG_004225"
"PUB-000465","Loreto; Madre de Dios; Ucayali","Loreto; Madre de Dios; Ucayali","REG_000468"
"PUB-000391","Otros","Madre de Dios; Otros","REG_002914"
"PUB-002376","Otros","Áncash; Otros","REG_002531"
"PUB-000165","Huánuco","Huánuco; Otros","REG_000165"
"PUB-000429","Otros","Madre de Dios; Otros","REG_001055"
"PUB-000394","Otros","Madre de Dios; Otros","REG_001558"
"PUB-001988","Pasco","Junín; Pasco","REG_005445"
"PUB-001636","Otros","Cajamarca; Otros","REG_001755"
"PUB-005249","Lambayeque","Áncash; Lambayeque","REG_007555"
"PUB-005253","Amazonas; Cajamarca","Amazonas; Cajamarca","REG_007069"
"PUB-000496","Otros","Madre de Dios; Otros","REG_000970"
"PUB-000505","Otros","Loreto; Madre de Dios; Otros; Pasco; Ucayali","REG_000852"
"PUB-001982","Otros","Áncash; Otros","REG_002111"
"PUB-000384","Junín","Junín; Otros","REG_002272"
"PUB-004629","Cajamarca","Cajamarca; Piura","REG_006309"
"PUB-001583","Ayacucho; Junín","Ayacucho; Junín","REG_001701"
"PUB-000517","Otros","Madre de Dios; Otros","REG_001483"
"PUB-005050","Lambayeque; Piura","Lambayeque; Piura","REG_006856"
"PUB-003529","San Martín","Huánuco; San Martín","REG_005768"
"PUB-000495","Otros","Madre de Dios; Otros","REG_001042"
"PUB-001358","Huánuco","Huánuco; Otros","REG_004671"
"PUB-005271","Piura","Lambayeque; Piura","REG_007527"
"PUB-005444","Otros","Amazonas; Otros","REG_007820"
"PUB-002414","Áncash","Áncash; Otros","REG_004202"
"PUB-004493","Cajamarca","Cajamarca; Otros","REG_006161"
"PUB-002072","Áncash","Áncash; Otros","REG_004155"
"PUB-005037","Lambayeque; Piura; Tumbes","Lambayeque; Piura; Tumbes","REG_006843"
"PUB-001846","Áncash","Áncash; Otros","REG_004191"
"PUB-000304","Otros","Madre de Dios; Otros","REG_001506"
"PUB-004834","Cajamarca","Cajamarca; Otros","REG_006550"
"PUB-005106","Piura","Amazonas; Cajamarca; Piura; Tumbes","REG_007533"
"PUB-003570","Pasco","Huánuco; Pasco","REG_005237"
"PUB-000540","Otros","Madre de Dios; Otros","REG_001130"
"PUB-000470","Otros","Madre de Dios; Otros","REG_001520"
"PUB-005134","La Libertad; Lambayeque; Piura; Tumbes","La Libertad; Lambayeque; Piura; Tumbes","REG_006942"
"PUB-000437","Otros","Madre de Dios; Otros","REG_001280"
"PUB-000368","Áncash","Áncash; Loreto; Otros","REG_004175"
"PUB-001525","Ayacucho; Junín; Lima","Ayacucho; Junín; Lima","REG_001642"
"PUB-000504","Otros","Madre de Dios; Otros","REG_001411"
"PUB-002177","Áncash","Áncash; Cajamarca; Otros","REG_004167"
"PUB-004709","Cajamarca","Cajamarca; Otros","REG_006397"
"PUB-001802","Otros","Otros; Puno","REG_001924"
"PUB-004876","Cajamarca","Cajamarca; Otros","REG_006604"
"PUB-001794","Ayacucho","Ayacucho; Otros","REG_008047"
"PUB-000380","Otros","Madre de Dios; Otros","REG_000932"
"PUB-000386","Madre de Dios; Ucayali","Madre de Dios; Ucayali","REG_000387"
"PUB-000424","Otros","Madre de Dios; Otros","REG_001171"
"PUB-000335","Amazonas","Amazonas; Otros","REG_000335"
"PUB-000479","Otros","Madre de Dios; Otros","REG_001192"
"PUB-003050","Áncash","Áncash; Cajamarca","REG_004042"
"PUB-002067","Áncash","Áncash; Otros","REG_004152"
"PUB-005042","La Libertad; Piura","La Libertad; Piura","REG_006848"
"PUB-002378","Áncash","Áncash; Otros","REG_004192"
"PUB-002073","San Martín","Otros; San Martín","REG_005958"
"PUB-001939","Áncash","Áncash; Otros","REG_004137"
"PUB-001630","Cajamarca","Cajamarca; Otros","REG_006294"
"PUB-001653","Ayacucho; La Libertad","Ayacucho; La Libertad","REG_001772"
"PUB-000566","Otros","Madre de Dios; Otros","REG_001397"
"PUB-000503","Otros","Madre de Dios; Otros","REG_001297"
"PUB-000405","Otros","Madre de Dios; Otros","REG_001482"
"PUB-002064","Áncash","Áncash; Otros","REG_003879"
"PUB-002490","Huánuco","Huánuco; Junín","REG_004911"
"PUB-000498","Otros","Madre de Dios; Otros","REG_001172"
"PUB-000531","Huánuco; Loreto; Madre de Dios; San Martín; Ucayali","Huánuco; Loreto; Madre de Dios; San Martín; Ucayali","REG_000537"
"PUB-000895","Otros","Otros; San Martín","REG_000935"
"PUB-005118","Lambayeque","Lambayeque; Piura","REG_007551"
"PUB-000341","Otros","Madre de Dios; Otros","REG_001562"
"PUB-006025","Ayacucho; Ica","Ayacucho; Ica","REG_008040"
"PUB-001789","La Libertad; Lima","La Libertad; Lima","REG_001911"
"PUB-005188","Piura","Lambayeque; Piura; Tumbes","REG_007541"
"PUB-000159","Huánuco","Huánuco; Otros","REG_000159"
"PUB-002423","Áncash","Áncash; Otros","REG_004208"
"PUB-005061","Ica; Piura; Áncash","Áncash; Ica; Piura","REG_006867"
"PUB-000519","Otros","Huánuco; Loreto; Madre de Dios; Otros; Ucayali","REG_000939"
"PUB-004432","Otros","Otros; San Martín","REG_007694"
"PUB-005053","Piura; Áncash","Áncash; Piura","REG_006859"
"PUB-001621","Lambayeque","Cajamarca; Lambayeque; Lima","REG_007530"
"PUB-001545","Otros","Lambayeque; Otros","REG_001662"
"PUB-002511","Junín","Áncash; Junín","REG_002672"
"PUB-000366","Otros","Madre de Dios; Otros","REG_001342"
"PUB-000604","Loreto; Madre de Dios; San Martín; Ucayali","Loreto; Madre de Dios; San Martín; Ucayali","REG_000614"
"PUB-000532","Otros","Madre de Dios; Otros","REG_000927"
"PUB-004040","Pasco","Cajamarca; Pasco","REG_005456"
"PUB-004367","San Martín","Otros; San Martín","REG_005887"
"PUB-000382","Otros","Madre de Dios; Otros","REG_001438"
"PUB-005328","Otros","Amazonas; Otros","REG_007153"
"PUB-005160","Lambayeque","Lambayeque; Piura","REG_007518"
"PUB-001601","Ayacucho; Junín","Ayacucho; Junín","REG_001719"
"PUB-002629","Otros","Otros; Pasco","REG_003104"
"PUB-002972","Áncash","Áncash; Otros","REG_003962"
