ID_PUBLICACION_PROPUESTA,TIPO_PROPUESTO,SUBTIPO_PROPUESTO
PUB-000001,Artículo,Artículo científico
PUB-000002,Artículo,Artículo científico
PUB-000003,Tesis,Tesis de pregrado
PUB-000004,Artículo,Artículo científico
PUB-000005,Tesis,Tesis de pregrado
PUB-000006,Artículo,Artículo científico
PUB-000007,Tesis,Tesis de pregrado
PUB-000008,Tesis,Tesis de pregrado
PUB-000009,Tesis,Tesis de pregrado
PUB-000010,Tesis,Tesis de pregrado
PUB-000011,Tesis,Tesis de pregrado
PUB-000012,Tesis,Tesis de pregrado
PUB-000013,Artículo,Artículo científico
PUB-000014,Tesis,Tesis de pregrado
PUB-000015,Tesis,Tesis doctoral
PUB-000016,Tesis,Tesis de pregrado
PUB-000017,Artículo,Artículo científico
PUB-000018,Tesis,Tesis de maestría
PUB-000019,Tesis,Tesis de pregrado
PUB-000020,Artículo,Artículo científico
PUB-000021,Artículo,Artículo científico
PUB-000022,Tesis,Tesis de pregrado
PUB-000023,Tesis,Tesis de pregrado
PUB-000024,Tesis,Tesis doctoral
PUB-000025,Tesis,Tesis de pregrado
PUB-000026,Tesis,Tesis de pregrado
PUB-000027,Tesis,Tesis de posgrado no especificada
PUB-000028,Artículo,Artículo científico
PUB-000029,Tesis,Tesis de maestría
PUB-000030,Tesis,Tesis de pregrado
PUB-000031,Artículo,Artículo científico
PUB-000032,Artículo,Artículo científico
PUB-000033,Artículo,Artículo científico
PUB-000034,Artículo,Artículo científico
PUB-000035,Tesis,Tesis de pregrado
PUB-000036,Tesis,Tesis de posgrado no especificada
PUB-000037,Artículo,Artículo científico
PUB-000038,Artículo,Artículo científico
PUB-000039,Artículo,Artículo científico
PUB-000040,Artículo,Artículo científico
PUB-000041,Artículo,Artículo científico
PUB-000042,Artículo,Artículo científico
PUB-000043,Tesis,Tesis de pregrado
PUB-000044,Tesis,Tesis de pregrado
PUB-000045,Tesis,Tesis de pregrado
PUB-000046,Tesis,Tesis de pregrado
PUB-000047,Tesis,Tesis de pregrado
PUB-000048,Tesis,Tesis de pregrado
PUB-000049,Tesis,Tesis de pregrado
PUB-000050,Artículo,Artículo científico
PUB-000051,Tesis,Tesis de pregrado
PUB-000052,Tesis,Tesis de pregrado
PUB-000053,Artículo,Artículo científico
PUB-000054,Tesis,Tesis de maestría
PUB-000055,Artículo,Artículo científico
PUB-000056,Tesis,Tesis de pregrado
PUB-000057,Tesis,Tesis de pregrado
PUB-000058,Tesis,Tesis de pregrado
PUB-000059,Tesis,Tesis de pregrado
PUB-000060,Artículo,Artículo científico
PUB-000061,Tesis,Tesis de pregrado
PUB-000062,Artículo,Artículo científico
PUB-000063,Tesis,Tesis de pregrado
PUB-000064,Tesis,Tesis de pregrado
PUB-000065,Tesis,Tesis de pregrado
PUB-000066,Tesis,Tesis de pregrado
PUB-000067,Artículo,Artículo científico
PUB-000068,Tesis,Tesis de posgrado no especificada
PUB-000069,Artículo,Artículo científico
PUB-000070,Artículo,Artículo científico
PUB-000071,Tesis,Tesis de pregrado
PUB-000072,Tesis,Tesis de pregrado
PUB-000073,Tesis,Tesis de maestría
PUB-000074,Tesis,Tesis de pregrado
PUB-000075,Tesis,Tesis de pregrado
PUB-000076,Tesis,Tesis de pregrado
PUB-000077,Artículo,Artículo científico
PUB-000078,Tesis,Tesis de pregrado
PUB-000079,Tesis,Tesis de pregrado
PUB-000080,Tesis,Tesis de pregrado
PUB-000081,Tesis,Tesis de pregrado
PUB-000082,Artículo,Artículo científico
PUB-000083,Tesis,Tesis de maestría
PUB-000084,Artículo,Artículo científico
PUB-000085,Artículo,Artículo científico
PUB-000086,Tesis,Tesis de pregrado
PUB-000087,Artículo,Artículo científico
PUB-000088,Tesis,Tesis de pregrado
PUB-000089,Tesis,Tesis de pregrado
PUB-000090,Tesis,Tesis de pregrado
PUB-000091,Tesis,Tesis de pregrado
PUB-000092,Tesis,Tesis de pregrado
PUB-000093,Tesis,Tesis de pregrado
PUB-000094,Tesis,Tesis de pregrado
PUB-000095,Tesis,Tesis doctoral
PUB-000096,Tesis,Tesis de pregrado
PUB-000097,Tesis,Tesis de pregrado
PUB-000098,Tesis,Tesis de pregrado
PUB-000099,Artículo,Artículo científico
PUB-000100,Tesis,Tesis de pregrado
PUB-000101,Artículo,Artículo científico
PUB-000102,Artículo,Artículo científico
PUB-000103,Tesis,Tesis de pregrado
PUB-000104,Tesis,Tesis de pregrado
PUB-000105,Tesis,Tesis de pregrado
PUB-000106,Tesis,Tesis de pregrado
PUB-000107,Tesis,Tesis de pregrado
PUB-000108,Tesis,Tesis de pregrado
PUB-000109,Artículo,Artículo científico
PUB-000110,Tesis,Tesis de pregrado
PUB-000111,Tesis,Tesis de pregrado
PUB-000112,Tesis,Tesis de pregrado
PUB-000113,Tesis,Tesis de maestría
PUB-000114,Tesis,Tesis doctoral
PUB-000115,Tesis,Tesis de pregrado
PUB-000116,Tesis,Tesis de maestría
PUB-000117,Tesis,Tesis de maestría
PUB-000118,Tesis,Tesis de pregrado
PUB-000119,Tesis,Tesis de pregrado
PUB-000120,Tesis,Tesis de pregrado
PUB-000121,Artículo,Artículo científico
PUB-000122,Artículo,Artículo científico
PUB-000123,Artículo,Artículo científico
PUB-000124,Artículo,Artículo científico
PUB-000125,Tesis,Tesis de pregrado
PUB-000126,Tesis,Tesis de pregrado
PUB-000127,Artículo,Artículo científico
PUB-000128,Tesis,Tesis de pregrado
PUB-000129,Tesis,Tesis de pregrado
PUB-000130,Artículo,Artículo científico
PUB-000131,Artículo,Artículo científico
PUB-000132,Tesis,Tesis de pregrado
PUB-000133,Tesis,Tesis de pregrado
PUB-000134,Tesis,Tesis de pregrado
PUB-000135,Tesis,Tesis de pregrado
PUB-000136,Tesis,Tesis de pregrado
PUB-000137,Tesis,Tesis de maestría
PUB-000138,Artículo,Artículo científico
PUB-000139,Artículo,Artículo científico
PUB-000140,Artículo,Artículo científico
PUB-000141,Tesis,Tesis de maestría
PUB-000142,Tesis,Tesis de pregrado
PUB-000143,Artículo,Artículo científico
PUB-000144,Artículo,Artículo científico
PUB-000145,Tesis,Tesis de pregrado
PUB-000146,Tesis,Tesis de pregrado
PUB-000147,Tesis,Tesis de pregrado
PUB-000148,Tesis,Tesis de pregrado
PUB-000149,Tesis,Tesis de pregrado
PUB-000150,Artículo,Artículo científico
PUB-000151,Tesis,Tesis de pregrado
PUB-000152,Tesis,Tesis de maestría
PUB-000153,Tesis,Tesis de pregrado
PUB-000154,Tesis,Tesis de pregrado
PUB-000155,Tesis,Tesis de pregrado
PUB-000156,Artículo,Artículo científico
PUB-000157,Tesis,Tesis de pregrado
PUB-000158,Tesis,Tesis de pregrado
PUB-000159,Artículo,Artículo científico
PUB-000160,Tesis,Tesis de pregrado
PUB-000161,Tesis,Tesis de pregrado
PUB-000162,Tesis,Tesis de pregrado
PUB-000163,Artículo,Artículo científico
PUB-000164,Tesis,Tesis de pregrado
PUB-000165,Tesis,Tesis de pregrado
PUB-000166,Tesis,Tesis de pregrado
PUB-000167,Artículo,Artículo científico
PUB-000168,Tesis,Tesis de pregrado
PUB-000169,Tesis,Tesis de pregrado
PUB-000170,Artículo,Artículo científico
PUB-000171,Tesis,Tesis de pregrado
PUB-000172,Tesis,Tesis de pregrado
PUB-000173,Tesis,Tesis de pregrado
PUB-000174,Tesis,Tesis de pregrado
PUB-000175,Tesis,Tesis de pregrado
PUB-000176,Tesis,Tesis de pregrado
PUB-000177,Tesis,Tesis de pregrado
PUB-000178,Tesis,Tesis de pregrado
PUB-000179,Tesis,Tesis de pregrado
PUB-000180,Tesis,Tesis de pregrado
PUB-000181,Artículo,Artículo científico
PUB-000182,Tesis,Tesis de pregrado
PUB-000183,Tesis,Tesis de pregrado
PUB-000184,Tesis,Tesis de maestría
PUB-000185,Tesis,Tesis de pregrado
PUB-000186,Tesis,Tesis de pregrado
PUB-000187,Tesis,Tesis de pregrado
PUB-000188,Tesis,Tesis de pregrado
PUB-000189,Tesis,Tesis de maestría
PUB-000190,Tesis,Tesis de pregrado
PUB-000191,Tesis,Tesis de pregrado
PUB-000192,Tesis,Tesis de pregrado
PUB-000193,Tesis,Tesis de pregrado
PUB-000194,Tesis,Tesis de pregrado
PUB-000195,Tesis,Tesis de pregrado
PUB-000196,Artículo,Artículo científico
PUB-000197,Tesis,Tesis de pregrado
PUB-000198,Tesis,Tesis de pregrado
PUB-000199,Tesis,Tesis de pregrado
PUB-000200,Tesis,Tesis de pregrado
PUB-000201,Tesis,Tesis de maestría
PUB-000202,Artículo,Artículo científico
PUB-000203,Tesis,Tesis de pregrado
PUB-000204,Tesis,Tesis de pregrado
PUB-000205,Artículo,Artículo científico
PUB-000206,Artículo,Artículo científico
PUB-000207,Artículo,Artículo científico
PUB-000208,Artículo,Artículo científico
PUB-000209,Artículo,Artículo científico
PUB-000210,Tesis,Tesis de pregrado
PUB-000211,Tesis,Tesis de pregrado
PUB-000212,Tesis,Tesis de pregrado
PUB-000213,Tesis,Tesis de pregrado
PUB-000214,Tesis,Tesis de pregrado
PUB-000215,Artículo,Artículo científico
PUB-000216,Artículo,Artículo científico
PUB-000217,Tesis,Tesis de pregrado
PUB-000218,Tesis,Tesis de pregrado
PUB-000219,Artículo,Artículo científico
PUB-000220,Artículo,Artículo científico
PUB-000221,Artículo,Artículo científico
PUB-000222,Tesis,Tesis de maestría
PUB-000223,Artículo,Artículo científico
PUB-000224,Artículo,Artículo científico
PUB-000225,Artículo,Artículo científico
PUB-000226,Tesis,Tesis de maestría
PUB-000227,Tesis,Tesis de pregrado
PUB-000228,Tesis,Tesis de pregrado
PUB-000229,Tesis,Tesis de pregrado
PUB-000230,Artículo,Artículo científico
PUB-000231,Tesis,Tesis de pregrado
PUB-000232,Tesis,Tesis de pregrado
PUB-000233,Tesis,Tesis de pregrado
PUB-000234,Tesis,Tesis de pregrado
PUB-000235,Artículo,Artículo científico
PUB-000236,Artículo,Artículo científico
PUB-000237,Artículo,Artículo científico
PUB-000238,Artículo,Artículo científico
PUB-000239,Tesis,Tesis de pregrado
PUB-000240,Tesis,Tesis de pregrado
PUB-000241,Tesis,Tesis de maestría
PUB-000242,Artículo,Artículo científico
PUB-000243,Artículo,Artículo científico
PUB-000244,Artículo,Artículo científico
PUB-000245,Artículo,Artículo científico
PUB-000246,Artículo,Artículo científico
PUB-000247,Tesis,Tesis de pregrado
PUB-000248,Artículo,Artículo científico
PUB-000249,Artículo,Artículo científico
PUB-000250,Tesis,Tesis de pregrado
PUB-000251,Tesis,Tesis de pregrado
PUB-000252,Tesis,Tesis de maestría
PUB-000253,Artículo,Artículo científico
PUB-000254,Tesis,Tesis de pregrado
PUB-000255,Artículo,Artículo científico
PUB-000256,Artículo,Artículo científico
PUB-000257,Artículo,Artículo científico
PUB-000258,Artículo,Artículo científico
PUB-000259,Artículo,Artículo científico
PUB-000260,Artículo,Artículo científico
PUB-000261,Artículo,Artículo científico
PUB-000262,Tesis,Tesis de pregrado
PUB-000263,Tesis,Tesis de pregrado
PUB-000264,Tesis,Tesis doctoral
PUB-000265,Tesis,Tesis de pregrado
PUB-000266,Tesis,Tesis de pregrado
PUB-000267,Tesis,Tesis de pregrado
PUB-000268,Tesis,Tesis de pregrado
PUB-000269,Tesis,Tesis de posgrado no especificada
PUB-000270,Artículo,Artículo científico
PUB-000271,Artículo,Artículo científico
PUB-000272,Tesis,Tesis de maestría
PUB-000273,Tesis,Tesis de pregrado
PUB-000274,Tesis,Tesis de pregrado
PUB-000275,Tesis,Tesis de pregrado
PUB-000276,Tesis,Tesis de pregrado
PUB-000277,Tesis,Tesis de pregrado
PUB-000278,Tesis,Tesis de maestría
PUB-000279,Artículo,Artículo científico
PUB-000280,Artículo,Artículo científico
PUB-000281,Artículo,Artículo científico
PUB-000282,Tesis,Tesis de pregrado
PUB-000283,Artículo,Artículo científico
PUB-000284,Tesis,Tesis de pregrado
PUB-000285,Artículo,Artículo científico
PUB-000286,Tesis,Tesis de pregrado
PUB-000287,Artículo,Artículo científico
PUB-000288,Tesis,Tesis de maestría
PUB-000289,Tesis,Tesis de pregrado
PUB-000290,Tesis,Tesis de pregrado
PUB-000291,Artículo,Artículo científico
PUB-000292,Tesis,Tesis de pregrado
PUB-000293,Artículo,Artículo científico
PUB-000294,Artículo,Artículo científico
PUB-000295,Artículo,Artículo científico
PUB-000296,Tesis,Tesis de pregrado
PUB-000297,Artículo,Artículo científico
PUB-000298,Tesis,Tesis doctoral
PUB-000299,Artículo,Artículo científico
PUB-000300,Tesis,Tesis doctoral
PUB-000301,Artículo,Artículo científico
PUB-000302,Tesis,Tesis de pregrado
PUB-000303,Tesis,Tesis de pregrado
PUB-000304,Artículo,Artículo científico
PUB-000305,Artículo,Artículo científico
PUB-000306,Artículo,Artículo científico
PUB-000307,Tesis,Tesis de pregrado
PUB-000308,Artículo,Artículo científico
PUB-000309,Artículo,Artículo científico
PUB-000310,Tesis,Tesis doctoral
PUB-000311,Artículo,Artículo científico
PUB-000312,Artículo,Artículo científico
PUB-000313,Artículo,Artículo científico
PUB-000314,Artículo,Artículo científico
PUB-000315,Artículo,Artículo científico
PUB-000316,Tesis,Tesis de pregrado
PUB-000317,Artículo,Artículo científico
PUB-000318,Tesis,Tesis de pregrado
PUB-000319,Artículo,Artículo científico
PUB-000320,Artículo,Artículo científico
PUB-000321,Artículo,Artículo científico
PUB-000322,Artículo,Artículo científico
PUB-000323,Tesis,Tesis doctoral
PUB-000324,Tesis,Tesis doctoral
PUB-000325,Tesis,Tesis de pregrado
PUB-000326,Artículo,Artículo científico
PUB-000327,Tesis,Tesis de pregrado
PUB-000328,Tesis,Tesis doctoral
PUB-000329,Tesis,Tesis de pregrado
PUB-000330,Tesis,Tesis de pregrado
PUB-000331,Artículo,Artículo científico
PUB-000332,Artículo,Artículo científico
PUB-000333,Tesis,Tesis de pregrado
PUB-000334,Artículo,Artículo científico
PUB-000335,Artículo,Artículo científico
